feature,coef
ID,0.15239726
X314,0.04452055
X315,0.035958905
X47,0.032534245
X118,0.032534245
X236,0.032534245
X29,0.02910959
X383,0.025684932
X1_3,0.025684932
X345,0.017123288
X104,0.017123288
X316,0.017123288
X5_3,0.015410959
X71,0.015410959
X8_2,0.01369863
X339,0.01369863
X0_3,0.01369863
X176,0.011986301
X105,0.011986301
X189,0.011986301
X27,0.0102739725
X8_1,0.0102739725
X163,0.0102739725
X306,0.0102739725
X1_1,0.0102739725
X70,0.008561644
X5_5,0.008561644
X0_2,0.008561644
X206,0.008561644
X1_2,0.008561644
X12,0.008561644
X3_2,0.008561644
X292,0.006849315
X127,0.006849315
X322,0.006849315
X340,0.006849315
X6_1,0.006849315
X13,0.006849315
X14,0.006849315
X116,0.006849315
X22,0.006849315
X291,0.006849315
X6_2,0.006849315
X58,0.006849315
X5_4,0.006849315
X1_4,0.006849315
X0_4,0.006849315
X351,0.006849315
X264,0.0051369863
X267,0.0051369863
X342,0.0051369863
X272,0.0051369863
X100,0.0051369863
X65,0.0051369863
X0_6,0.0051369863
X52,0.0051369863
X30,0.0051369863
X182,0.0051369863
X8_4,0.0051369863
X327,0.0051369863
X61,0.0051369863
X181,0.0051369863
X115,0.0051369863
X179,0.0051369863
X82,0.0034246575
X275,0.0034246575
X139,0.0034246575
X273,0.0034246575
X173,0.0034246575
X224,0.0034246575
X0_1,0.0034246575
X48,0.0034246575
X225,0.0034246575
X354,0.0034246575
X321,0.0034246575
X54,0.0034246575
X6_4,0.0034246575
X156,0.0034246575
X8_5,0.0034246575
X51,0.0034246575
X23,0.0034246575
X164,0.0034246575
X246,0.0017123288
X202,0.0017123288
X220,0.0017123288
X238,0.0017123288
X64,0.0017123288
X203,0.0017123288
X223,0.0017123288
X109,0.0017123288
X77,0.0017123288
X258,0.0017123288
X178,0.0017123288
X196,0.0017123288
X49,0.0017123288
X261,0.0017123288
X177,0.0017123288
X311,0.0017123288
X3_1,0.0017123288
X151,0.0017123288
X355,0.0017123288
X154,0.0017123288
X361,0.0017123288
X174,0.0017123288
X2_5,0.0017123288
X5_2,0.0017123288
X341,0.0017123288
X148,0.0017123288
X335,0.0017123288
X2_3,0.0017123288
X128,0.0017123288
X2_2,0.0017123288
X313,0.0017123288
X152,0.0017123288
X287,0.0017123288
X31,0.0017123288
X20,0.0017123288
X135,0.0017123288
X375,0.0017123288
X215,0.0017123288
X138,0.0
X89,0.0
X90,0.0
X91,0.0
X134,0.0
X96,0.0
X95,0.0
X136,0.0
X98,0.0
X97,0.0
X92,0.0
X94,0.0
X99,0.0
X137,0.0
X103,0.0
X101,0.0
X124,0.0
